"Country","Day","Confirmed"
"Malaysia",-18.4601307189542,4
"Malaysia",-17.4601307189542,7
"Malaysia",-16.4601307189542,8
"Malaysia",-15.4601307189542,8
"Malaysia",-14.4601307189542,8
"Malaysia",-13.4601307189542,8
"Malaysia",-12.4601307189542,8
"Malaysia",-11.4601307189542,10
"Malaysia",-10.4601307189542,12
"Malaysia",-9.46013071895425,12
"Malaysia",-8.46013071895425,12
"Malaysia",-7.46013071895425,16
"Malaysia",-6.46013071895425,16
"Malaysia",-5.46013071895425,18
"Malaysia",-4.46013071895425,18
"Malaysia",-3.46013071895425,18
"Malaysia",-2.46013071895425,19
"Malaysia",-1.46013071895425,19
"Malaysia",-0.460130718954247,22
"Malaysia",0.539869281045753,22
"Malaysia",1.53986928104575,22
"Malaysia",2.53986928104575,22
"Malaysia",3.53986928104575,22
"Malaysia",4.53986928104575,22
"Malaysia",5.53986928104575,22
"Malaysia",6.53986928104575,22
"Malaysia",7.53986928104575,22
"Malaysia",8.53986928104575,22
"Malaysia",9.53986928104575,22
"Malaysia",10.5398692810458,22
"Malaysia",11.5398692810458,23
"Malaysia",12.5398692810458,23
"Malaysia",13.5398692810458,25
"Malaysia",14.5398692810458,29
"Malaysia",15.5398692810458,29
"Malaysia",16.5398692810458,36
"Malaysia",17.5398692810458,50
"Malaysia",18.5398692810458,50
"Malaysia",19.5398692810458,83
"Malaysia",20.5398692810458,93
"Malaysia",21.5398692810458,99
"Malaysia",22.5398692810458,117
"Germany",-21.4601307189542,4
"Germany",-20.4601307189542,4
"Germany",-19.4601307189542,4
"Germany",-18.4601307189542,5
"Germany",-17.4601307189542,8
"Germany",-16.4601307189542,10
"Germany",-15.4601307189542,12
"Germany",-14.4601307189542,12
"Germany",-13.4601307189542,12
"Germany",-12.4601307189542,12
"Germany",-11.4601307189542,13
"Germany",-10.4601307189542,13
"Germany",-9.46013071895425,14
"Germany",-8.46013071895425,14
"Germany",-7.46013071895425,16
"Germany",-6.46013071895425,16
"Germany",-5.46013071895425,16
"Germany",-4.46013071895425,16
"Germany",-3.46013071895425,16
"Germany",-2.46013071895425,16
"Germany",-1.46013071895425,16
"Germany",-0.460130718954247,16
"Germany",0.539869281045753,16
"Germany",1.53986928104575,16
"Germany",2.53986928104575,16
"Germany",3.53986928104575,16
"Germany",4.53986928104575,16
"Germany",5.53986928104575,16
"Germany",6.53986928104575,17
"Germany",7.53986928104575,27
"Germany",8.53986928104575,46
"Germany",9.53986928104575,48
"Germany",10.5398692810458,79
"Germany",11.5398692810458,130
"Germany",12.5398692810458,159
"Germany",13.5398692810458,196
"Germany",14.5398692810458,262
"Germany",15.5398692810458,482
"Germany",16.5398692810458,670
"Germany",17.5398692810458,799
"Germany",18.5398692810458,1040
"Germany",19.5398692810458,1176
"Italy",-21.4601307189542,2
"Italy",-20.4601307189542,2
"Italy",-19.4601307189542,2
"Italy",-18.4601307189542,2
"Italy",-17.4601307189542,2
"Italy",-16.4601307189542,2
"Italy",-15.4601307189542,2
"Italy",-14.4601307189542,3
"Italy",-13.4601307189542,3
"Italy",-12.4601307189542,3
"Italy",-11.4601307189542,3
"Italy",-10.4601307189542,3
"Italy",-9.46013071895425,3
"Italy",-8.46013071895425,3
"Italy",-7.46013071895425,3
"Italy",-6.46013071895425,3
"Italy",-5.46013071895425,3
"Italy",-4.46013071895425,3
"Italy",-3.46013071895425,3
"Italy",-2.46013071895425,3
"Italy",-1.46013071895425,3
"Italy",-0.460130718954247,20
"Italy",0.539869281045753,62
"Italy",1.53986928104575,155
"Italy",2.53986928104575,229
"Italy",3.53986928104575,322
"Italy",4.53986928104575,453
"Italy",5.53986928104575,655
"Italy",6.53986928104575,888
"Italy",7.53986928104575,1128
"Italy",8.53986928104575,1694
"Italy",9.53986928104575,2036
"Italy",10.5398692810458,2502
"Italy",11.5398692810458,3089
"Italy",12.5398692810458,3858
"Italy",13.5398692810458,4636
"Italy",14.5398692810458,5883
"Italy",15.5398692810458,7375
"Italy",16.5398692810458,9172
"UK",-21.4601307189542,2
"UK",-20.4601307189542,2
"UK",-19.4601307189542,2
"UK",-18.4601307189542,2
"UK",-17.4601307189542,2
"UK",-16.4601307189542,2
"UK",-15.4601307189542,2
"UK",-14.4601307189542,3
"UK",-13.4601307189542,3
"UK",-12.4601307189542,3
"UK",-11.4601307189542,8
"UK",-10.4601307189542,8
"UK",-9.46013071895425,9
"UK",-8.46013071895425,9
"UK",-7.46013071895425,9
"UK",-6.46013071895425,9
"UK",-5.46013071895425,9
"UK",-4.46013071895425,9
"UK",-3.46013071895425,9
"UK",-2.46013071895425,9
"UK",-1.46013071895425,9
"UK",-0.460130718954247,9
"UK",0.539869281045753,9
"UK",1.53986928104575,9
"UK",2.53986928104575,13
"UK",3.53986928104575,13
"UK",4.53986928104575,13
"UK",5.53986928104575,15
"UK",6.53986928104575,20
"UK",7.53986928104575,23
"UK",8.53986928104575,36
"UK",9.53986928104575,40
"UK",10.5398692810458,51
"UK",11.5398692810458,85
"UK",12.5398692810458,115
"UK",13.5398692810458,163
"UK",14.5398692810458,206
"UK",15.5398692810458,273
"UK",16.5398692810458,321
"Spain",-21.4601307189542,1
"Spain",-20.4601307189542,1
"Spain",-19.4601307189542,1
"Spain",-18.4601307189542,1
"Spain",-17.4601307189542,1
"Spain",-16.4601307189542,1
"Spain",-15.4601307189542,1
"Spain",-14.4601307189542,1
"Spain",-13.4601307189542,2
"Spain",-12.4601307189542,2
"Spain",-11.4601307189542,2
"Spain",-10.4601307189542,2
"Spain",-9.46013071895425,2
"Spain",-8.46013071895425,2
"Spain",-7.46013071895425,2
"Spain",-6.46013071895425,2
"Spain",-5.46013071895425,2
"Spain",-4.46013071895425,2
"Spain",-3.46013071895425,2
"Spain",-2.46013071895425,2
"Spain",-1.46013071895425,2
"Spain",-0.460130718954247,2
"Spain",0.539869281045753,2
"Spain",1.53986928104575,2
"Spain",2.53986928104575,6
"Spain",3.53986928104575,13
"Spain",4.53986928104575,15
"Spain",5.53986928104575,32
"Spain",6.53986928104575,45
"Spain",7.53986928104575,84
"Spain",8.53986928104575,120
"Spain",9.53986928104575,165
"Spain",10.5398692810458,222
"Spain",11.5398692810458,259
"Spain",12.5398692810458,400
"Spain",13.5398692810458,500
"Spain",14.5398692810458,673
"Spain",15.5398692810458,1073
"Others",-21.4601307189542,61
"Others",-20.4601307189542,61
"Others",-19.4601307189542,64
"Others",-18.4601307189542,135
"Others",-17.4601307189542,135
"Others",-16.4601307189542,175
"Others",-15.4601307189542,175
"Others",-14.4601307189542,218
"Others",-13.4601307189542,285
"Others",-12.4601307189542,355
"Others",-11.4601307189542,454
"Others",-10.4601307189542,542
"Others",-9.46013071895425,621
"Others",-8.46013071895425,634
"Others",-7.46013071895425,634
"Others",-6.46013071895425,634
"Others",-5.46013071895425,691
"Others",-4.46013071895425,691
"Others",-3.46013071895425,691
"Others",-2.46013071895425,705
"Others",-1.46013071895425,705
"Others",-0.460130718954247,705
"Others",0.539869281045753,705
"Others",1.53986928104575,705
"Others",2.53986928104575,705
"Others",3.53986928104575,706
"Others",4.53986928104575,706
"Others",5.53986928104575,706
"Others",6.53986928104575,696
"Others",7.53986928104575,696
"Others",8.53986928104575,696
"Others",9.53986928104575,696
"Iran",-21.4601307189542,2
"Iran",-20.4601307189542,5
"Iran",-19.4601307189542,18
"Iran",-18.4601307189542,28
"Iran",-17.4601307189542,43
"Iran",-16.4601307189542,61
"Iran",-15.4601307189542,95
"Iran",-14.4601307189542,139
"Iran",-13.4601307189542,245
"Iran",-12.4601307189542,388
"Iran",-11.4601307189542,593
"Iran",-10.4601307189542,978
"Iran",-9.46013071895425,1501
"Iran",-8.46013071895425,2336
"Iran",-7.46013071895425,2922
"Iran",-6.46013071895425,3513
"Iran",-5.46013071895425,4747
"Iran",-4.46013071895425,5823
"Iran",-3.46013071895425,6566
"Iran",-2.46013071895425,7161
"Switzerland",-21.4601307189542,1
