"Country","Day","Confirmed"
"Singapore",14.3159493670886,85
"Vietnam",14.3159493670886,16
"France",13.3159493670886,12
"Nepal",12.3159493670886,1
"Canada",11.3159493670886,9
"Cambodia",10.3159493670886,1
"Sri Lanka",10.3159493670886,1
"Germany",9.31594936708861,16
"Finland",8.31594936708861,1
"United Arab Emirates",8.31594936708861,13
"India",7.31594936708861,3
"Italy",6.31594936708861,62
"Russia",6.31594936708861,2
"Sweden",6.31594936708861,1
"UK",6.31594936708861,9
"Spain",5.31594936708861,2
"Belgium",2.31594936708861,1
"Others",-0.684050632911394,634
"Egypt",-7.68405063291139,1
"Iran",-12.6840506329114,28
"Israel",-14.6840506329114,1
"Lebanon",-14.6840506329114,1
"Hong Kong",15.3159493670886,74
"Japan",16.3159493670886,147
"Macau",16.3159493670886,10
"Mainland China",16.3159493670886,76938
"South Korea",16.3159493670886,602
"Taiwan",16.3159493670886,28
"Thailand",16.3159493670886,35
"US",16.3159493670886,35
"Australia",13.3159493670886,22
"Malaysia",13.3159493670886,22
"Philippines",8.31594936708861,3
"Singapore",15.3159493670886,89
"Vietnam",15.3159493670886,16
"France",14.3159493670886,12
"Nepal",13.3159493670886,1
"Canada",12.3159493670886,9
"Cambodia",11.3159493670886,1
"Sri Lanka",11.3159493670886,1
"Germany",10.3159493670886,16
"Finland",9.31594936708861,1
"United Arab Emirates",9.31594936708861,13
"India",8.31594936708861,3
"Italy",7.31594936708861,155
"Russia",7.31594936708861,2
"Sweden",7.31594936708861,1
"UK",7.31594936708861,9
"Spain",6.31594936708861,2
"Belgium",3.31594936708861,1
"Others",0.315949367088606,691
"Egypt",-6.68405063291139,1
"Iran",-11.6840506329114,43
"Israel",-13.6840506329114,1
"Lebanon",-13.6840506329114,1
"Hong Kong",16.3159493670886,79
"Japan",17.3159493670886,159
"Macau",17.3159493670886,10
"Mainland China",17.3159493670886,77152
"South Korea",17.3159493670886,833
"Taiwan",17.3159493670886,30
"Thailand",17.3159493670886,35
"US",17.3159493670886,53
"Australia",14.3159493670886,22
"Malaysia",14.3159493670886,22
